sa4,age,sex,education,ingp,unemployment
Capital Region,50-59 years,Female,hs_not_finished,Non-Indigenous,214
Capital Region,60-69 years,Male,hs_finished,Indigenous,3
Capital Region,60-69 years,Male,hs_finished,Non-Indigenous,124
Capital Region,60-69 years,Male,hs_not_finished,Indigenous,3
Capital Region,60-69 years,Male,hs_not_finished,Non-Indigenous,186
Capital Region,60-69 years,Female,hs_finished,Indigenous,6
Capital Region,60-69 years,Female,hs_finished,Non-Indigenous,63
Capital Region,60-69 years,Female,hs_not_finished,Indigenous,3
Capital Region,60-69 years,Female,hs_not_finished,Non-Indigenous,110
Capital Region,70-79 years,Male,hs_finished,Indigenous,0
Capital Region,70-79 years,Male,hs_finished,Non-Indigenous,10
Capital Region,70-79 years,Male,hs_not_finished,Indigenous,0
Capital Region,70-79 years,Male,hs_not_finished,Non-Indigenous,13
Capital Region,70-79 years,Female,hs_finished,Indigenous,0
Capital Region,70-79 years,Female,hs_finished,Non-Indigenous,0
Capital Region,70-79 years,Female,hs_not_finished,Indigenous,0
Capital Region,70-79 years,Female,hs_not_finished,Non-Indigenous,4
Capital Region,80-89 years,Male,hs_finished,Indigenous,0
Capital Region,80-89 years,Male,hs_finished,Non-Indigenous,7
Capital Region,80-89 years,Male,hs_not_finished,Indigenous,0
Capital Region,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Capital Region,80-89 years,Female,hs_finished,Indigenous,0
Capital Region,80-89 years,Female,hs_finished,Non-Indigenous,4
Capital Region,80-89 years,Female,hs_not_finished,Indigenous,0
Capital Region,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Capital Region,90-99 years,Male,hs_finished,Indigenous,0
Capital Region,90-99 years,Male,hs_finished,Non-Indigenous,0
Capital Region,90-99 years,Male,hs_not_finished,Indigenous,0
Capital Region,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Capital Region,90-99 years,Female,hs_finished,Indigenous,0
Capital Region,90-99 years,Female,hs_finished,Non-Indigenous,0
Capital Region,90-99 years,Female,hs_not_finished,Indigenous,0
Capital Region,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Capital Region,100 years and over,Male,hs_finished,Indigenous,0
Capital Region,100 years and over,Male,hs_finished,Non-Indigenous,0
Capital Region,100 years and over,Male,hs_not_finished,Indigenous,0
Capital Region,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Capital Region,100 years and over,Female,hs_finished,Indigenous,0
Capital Region,100 years and over,Female,hs_finished,Non-Indigenous,0
Capital Region,100 years and over,Female,hs_not_finished,Indigenous,0
Capital Region,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Central Coast,15-19 years,Male,hs_finished,Indigenous,19
Central Coast,15-19 years,Male,hs_finished,Non-Indigenous,274
Central Coast,15-19 years,Male,hs_not_finished,Indigenous,75
Central Coast,15-19 years,Male,hs_not_finished,Non-Indigenous,702
Central Coast,15-19 years,Female,hs_finished,Indigenous,24
Central Coast,15-19 years,Female,hs_finished,Non-Indigenous,251
Central Coast,15-19 years,Female,hs_not_finished,Indigenous,56
Central Coast,15-19 years,Female,hs_not_finished,Non-Indigenous,661
Central Coast,20-29 years,Male,hs_finished,Indigenous,48
Central Coast,20-29 years,Male,hs_finished,Non-Indigenous,692
Central Coast,20-29 years,Male,hs_not_finished,Indigenous,84
Central Coast,20-29 years,Male,hs_not_finished,Non-Indigenous,591
Central Coast,20-29 years,Female,hs_finished,Indigenous,39
Central Coast,20-29 years,Female,hs_finished,Non-Indigenous,575
Central Coast,20-29 years,Female,hs_not_finished,Indigenous,47
Central Coast,20-29 years,Female,hs_not_finished,Non-Indigenous,429
Central Coast,30-39 years,Male,hs_finished,Indigenous,15
Central Coast,30-39 years,Male,hs_finished,Non-Indigenous,270
Central Coast,30-39 years,Male,hs_not_finished,Indigenous,47
Central Coast,30-39 years,Male,hs_not_finished,Non-Indigenous,351
Central Coast,30-39 years,Female,hs_finished,Indigenous,12
Central Coast,30-39 years,Female,hs_finished,Non-Indigenous,426
Central Coast,30-39 years,Female,hs_not_finished,Indigenous,30
Central Coast,30-39 years,Female,hs_not_finished,Non-Indigenous,345
Central Coast,40-49 years,Male,hs_finished,Indigenous,5
Central Coast,40-49 years,Male,hs_finished,Non-Indigenous,270
Central Coast,40-49 years,Male,hs_not_finished,Indigenous,32
Central Coast,40-49 years,Male,hs_not_finished,Non-Indigenous,446
Central Coast,40-49 years,Female,hs_finished,Indigenous,12
Central Coast,40-49 years,Female,hs_finished,Non-Indigenous,386
Central Coast,40-49 years,Female,hs_not_finished,Indigenous,20
Central Coast,40-49 years,Female,hs_not_finished,Non-Indigenous,429
Central Coast,50-59 years,Male,hs_finished,Indigenous,3
Central Coast,50-59 years,Male,hs_finished,Non-Indigenous,276
Central Coast,50-59 years,Male,hs_not_finished,Indigenous,16
Central Coast,50-59 years,Male,hs_not_finished,Non-Indigenous,514
Central Coast,50-59 years,Female,hs_finished,Indigenous,0
Central Coast,50-59 years,Female,hs_finished,Non-Indigenous,234
Central Coast,50-59 years,Female,hs_not_finished,Indigenous,32
Central Coast,50-59 years,Female,hs_not_finished,Non-Indigenous,504
Central Coast,60-69 years,Male,hs_finished,Indigenous,6
Central Coast,60-69 years,Male,hs_finished,Non-Indigenous,217
Central Coast,60-69 years,Male,hs_not_finished,Indigenous,0
Central Coast,60-69 years,Male,hs_not_finished,Non-Indigenous,239
Central Coast,60-69 years,Female,hs_finished,Indigenous,3
Central Coast,60-69 years,Female,hs_finished,Non-Indigenous,91
Central Coast,60-69 years,Female,hs_not_finished,Indigenous,0
Central Coast,60-69 years,Female,hs_not_finished,Non-Indigenous,158
Central Coast,70-79 years,Male,hs_finished,Indigenous,0
Central Coast,70-79 years,Male,hs_finished,Non-Indigenous,14
Central Coast,70-79 years,Male,hs_not_finished,Indigenous,0
Central Coast,70-79 years,Male,hs_not_finished,Non-Indigenous,12
Central Coast,70-79 years,Female,hs_finished,Indigenous,0
Central Coast,70-79 years,Female,hs_finished,Non-Indigenous,13
Central Coast,70-79 years,Female,hs_not_finished,Indigenous,0
Central Coast,70-79 years,Female,hs_not_finished,Non-Indigenous,6
Central Coast,80-89 years,Male,hs_finished,Indigenous,0
Central Coast,80-89 years,Male,hs_finished,Non-Indigenous,3
Central Coast,80-89 years,Male,hs_not_finished,Indigenous,0
Central Coast,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Central Coast,80-89 years,Female,hs_finished,Indigenous,0
Central Coast,80-89 years,Female,hs_finished,Non-Indigenous,0
Central Coast,80-89 years,Female,hs_not_finished,Indigenous,0
Central Coast,80-89 years,Female,hs_not_finished,Non-Indigenous,3
Central Coast,90-99 years,Male,hs_finished,Indigenous,0
Central Coast,90-99 years,Male,hs_finished,Non-Indigenous,0
Central Coast,90-99 years,Male,hs_not_finished,Indigenous,0
Central Coast,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Central Coast,90-99 years,Female,hs_finished,Indigenous,0
Central Coast,90-99 years,Female,hs_finished,Non-Indigenous,0
Central Coast,90-99 years,Female,hs_not_finished,Indigenous,0
Central Coast,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Central Coast,100 years and over,Male,hs_finished,Indigenous,0
Central Coast,100 years and over,Male,hs_finished,Non-Indigenous,0
Central Coast,100 years and over,Male,hs_not_finished,Indigenous,0
Central Coast,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Central Coast,100 years and over,Female,hs_finished,Indigenous,0
Central Coast,100 years and over,Female,hs_finished,Non-Indigenous,0
Central Coast,100 years and over,Female,hs_not_finished,Indigenous,0
Central Coast,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Central West,15-19 years,Male,hs_finished,Indigenous,12
Central West,15-19 years,Male,hs_finished,Non-Indigenous,131
Central West,15-19 years,Male,hs_not_finished,Indigenous,65
Central West,15-19 years,Male,hs_not_finished,Non-Indigenous,299
Central West,15-19 years,Female,hs_finished,Indigenous,24
Central West,15-19 years,Female,hs_finished,Non-Indigenous,134
Central West,15-19 years,Female,hs_not_finished,Indigenous,42
Central West,15-19 years,Female,hs_not_finished,Non-Indigenous,243
Central West,20-29 years,Male,hs_finished,Indigenous,49
Central West,20-29 years,Male,hs_finished,Non-Indigenous,291
Central West,20-29 years,Male,hs_not_finished,Indigenous,110
Central West,20-29 years,Male,hs_not_finished,Non-Indigenous,417
Central West,20-29 years,Female,hs_finished,Indigenous,39
Central West,20-29 years,Female,hs_finished,Non-Indigenous,283
Central West,20-29 years,Female,hs_not_finished,Indigenous,78
Central West,20-29 years,Female,hs_not_finished,Non-Indigenous,240
Central West,30-39 years,Male,hs_finished,Indigenous,11
Central West,30-39 years,Male,hs_finished,Non-Indigenous,136
Central West,30-39 years,Male,hs_not_finished,Indigenous,46
Central West,30-39 years,Male,hs_not_finished,Non-Indigenous,294
Central West,30-39 years,Female,hs_finished,Indigenous,17
Central West,30-39 years,Female,hs_finished,Non-Indigenous,204
Central West,30-39 years,Female,hs_not_finished,Indigenous,50
Central West,30-39 years,Female,hs_not_finished,Non-Indigenous,219
Central West,40-49 years,Male,hs_finished,Indigenous,9
Central West,40-49 years,Male,hs_finished,Non-Indigenous,134
Central West,40-49 years,Male,hs_not_finished,Indigenous,41
Central West,40-49 years,Male,hs_not_finished,Non-Indigenous,312
Central West,40-49 years,Female,hs_finished,Indigenous,8
Central West,40-49 years,Female,hs_finished,Non-Indigenous,133
Central West,40-49 years,Female,hs_not_finished,Indigenous,43
Central West,40-49 years,Female,hs_not_finished,Non-Indigenous,243
Central West,50-59 years,Male,hs_finished,Indigenous,8
Central West,50-59 years,Male,hs_finished,Non-Indigenous,133
Central West,50-59 years,Male,hs_not_finished,Indigenous,34
Central West,50-59 years,Male,hs_not_finished,Non-Indigenous,342
Central West,50-59 years,Female,hs_finished,Indigenous,4
Central West,50-59 years,Female,hs_finished,Non-Indigenous,104
Central West,50-59 years,Female,hs_not_finished,Indigenous,15
Central West,50-59 years,Female,hs_not_finished,Non-Indigenous,261
Central West,60-69 years,Male,hs_finished,Indigenous,0
Central West,60-69 years,Male,hs_finished,Non-Indigenous,69
Central West,60-69 years,Male,hs_not_finished,Indigenous,15
Central West,60-69 years,Male,hs_not_finished,Non-Indigenous,162
Central West,60-69 years,Female,hs_finished,Indigenous,0
Central West,60-69 years,Female,hs_finished,Non-Indigenous,23
Central West,60-69 years,Female,hs_not_finished,Indigenous,0
Central West,60-69 years,Female,hs_not_finished,Non-Indigenous,93
Central West,70-79 years,Male,hs_finished,Indigenous,0
Central West,70-79 years,Male,hs_finished,Non-Indigenous,12
Central West,70-79 years,Male,hs_not_finished,Indigenous,0
Central West,70-79 years,Male,hs_not_finished,Non-Indigenous,15
Central West,70-79 years,Female,hs_finished,Indigenous,0
Central West,70-79 years,Female,hs_finished,Non-Indigenous,0
Central West,70-79 years,Female,hs_not_finished,Indigenous,0
Central West,70-79 years,Female,hs_not_finished,Non-Indigenous,0
Central West,80-89 years,Male,hs_finished,Indigenous,0
Central West,80-89 years,Male,hs_finished,Non-Indigenous,0
Central West,80-89 years,Male,hs_not_finished,Indigenous,0
Central West,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Central West,80-89 years,Female,hs_finished,Indigenous,0
Central West,80-89 years,Female,hs_finished,Non-Indigenous,0
Central West,80-89 years,Female,hs_not_finished,Indigenous,0
Central West,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Central West,90-99 years,Male,hs_finished,Indigenous,0
Central West,90-99 years,Male,hs_finished,Non-Indigenous,4
Central West,90-99 years,Male,hs_not_finished,Indigenous,0
Central West,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Central West,90-99 years,Female,hs_finished,Indigenous,0
Central West,90-99 years,Female,hs_finished,Non-Indigenous,0
Central West,90-99 years,Female,hs_not_finished,Indigenous,0
Central West,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Central West,100 years and over,Male,hs_finished,Indigenous,0
Central West,100 years and over,Male,hs_finished,Non-Indigenous,0
Central West,100 years and over,Male,hs_not_finished,Indigenous,0
Central West,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Central West,100 years and over,Female,hs_finished,Indigenous,0
Central West,100 years and over,Female,hs_finished,Non-Indigenous,0
Central West,100 years and over,Female,hs_not_finished,Indigenous,0
Central West,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,15-19 years,Male,hs_finished,Indigenous,21
Coffs Harbour - Grafton,15-19 years,Male,hs_finished,Non-Indigenous,105
Coffs Harbour - Grafton,15-19 years,Male,hs_not_finished,Indigenous,48
Coffs Harbour - Grafton,15-19 years,Male,hs_not_finished,Non-Indigenous,274
Coffs Harbour - Grafton,15-19 years,Female,hs_finished,Indigenous,14
Coffs Harbour - Grafton,15-19 years,Female,hs_finished,Non-Indigenous,83
Coffs Harbour - Grafton,15-19 years,Female,hs_not_finished,Indigenous,34
Coffs Harbour - Grafton,15-19 years,Female,hs_not_finished,Non-Indigenous,204
Coffs Harbour - Grafton,20-29 years,Male,hs_finished,Indigenous,29
Coffs Harbour - Grafton,20-29 years,Male,hs_finished,Non-Indigenous,250
Coffs Harbour - Grafton,20-29 years,Male,hs_not_finished,Indigenous,48
Coffs Harbour - Grafton,20-29 years,Male,hs_not_finished,Non-Indigenous,276
Coffs Harbour - Grafton,20-29 years,Female,hs_finished,Indigenous,16
Coffs Harbour - Grafton,20-29 years,Female,hs_finished,Non-Indigenous,209
Coffs Harbour - Grafton,20-29 years,Female,hs_not_finished,Indigenous,50
Coffs Harbour - Grafton,20-29 years,Female,hs_not_finished,Non-Indigenous,148
Coffs Harbour - Grafton,30-39 years,Male,hs_finished,Indigenous,6
Coffs Harbour - Grafton,30-39 years,Male,hs_finished,Non-Indigenous,113
Coffs Harbour - Grafton,30-39 years,Male,hs_not_finished,Indigenous,36
Coffs Harbour - Grafton,30-39 years,Male,hs_not_finished,Non-Indigenous,194
Coffs Harbour - Grafton,30-39 years,Female,hs_finished,Indigenous,9
Coffs Harbour - Grafton,30-39 years,Female,hs_finished,Non-Indigenous,173
Coffs Harbour - Grafton,30-39 years,Female,hs_not_finished,Indigenous,24
Coffs Harbour - Grafton,30-39 years,Female,hs_not_finished,Non-Indigenous,159
Coffs Harbour - Grafton,40-49 years,Male,hs_finished,Indigenous,11
Coffs Harbour - Grafton,40-49 years,Male,hs_finished,Non-Indigenous,113
Coffs Harbour - Grafton,40-49 years,Male,hs_not_finished,Indigenous,29
Coffs Harbour - Grafton,40-49 years,Male,hs_not_finished,Non-Indigenous,220
Coffs Harbour - Grafton,40-49 years,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,40-49 years,Female,hs_finished,Non-Indigenous,124
Coffs Harbour - Grafton,40-49 years,Female,hs_not_finished,Indigenous,22
Coffs Harbour - Grafton,40-49 years,Female,hs_not_finished,Non-Indigenous,174
Coffs Harbour - Grafton,50-59 years,Male,hs_finished,Indigenous,3
Coffs Harbour - Grafton,50-59 years,Male,hs_finished,Non-Indigenous,118
Coffs Harbour - Grafton,50-59 years,Male,hs_not_finished,Indigenous,21
Coffs Harbour - Grafton,50-59 years,Male,hs_not_finished,Non-Indigenous,312
Coffs Harbour - Grafton,50-59 years,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,50-59 years,Female,hs_finished,Non-Indigenous,115
Coffs Harbour - Grafton,50-59 years,Female,hs_not_finished,Indigenous,21
Coffs Harbour - Grafton,50-59 years,Female,hs_not_finished,Non-Indigenous,218
Coffs Harbour - Grafton,60-69 years,Male,hs_finished,Indigenous,0
Coffs Harbour - Grafton,60-69 years,Male,hs_finished,Non-Indigenous,94
Coffs Harbour - Grafton,60-69 years,Male,hs_not_finished,Indigenous,8
Coffs Harbour - Grafton,60-69 years,Male,hs_not_finished,Non-Indigenous,126
Coffs Harbour - Grafton,60-69 years,Female,hs_finished,Indigenous,5
Coffs Harbour - Grafton,60-69 years,Female,hs_finished,Non-Indigenous,41
Coffs Harbour - Grafton,60-69 years,Female,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,60-69 years,Female,hs_not_finished,Non-Indigenous,83
Coffs Harbour - Grafton,70-79 years,Male,hs_finished,Indigenous,0
Coffs Harbour - Grafton,70-79 years,Male,hs_finished,Non-Indigenous,8
Coffs Harbour - Grafton,70-79 years,Male,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,70-79 years,Male,hs_not_finished,Non-Indigenous,9
Coffs Harbour - Grafton,70-79 years,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,70-79 years,Female,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,70-79 years,Female,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,70-79 years,Female,hs_not_finished,Non-Indigenous,7
Coffs Harbour - Grafton,80-89 years,Male,hs_finished,Indigenous,0
Coffs Harbour - Grafton,80-89 years,Male,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,80-89 years,Male,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,80-89 years,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,80-89 years,Female,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,80-89 years,Female,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,90-99 years,Male,hs_finished,Indigenous,0
Coffs Harbour - Grafton,90-99 years,Male,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,90-99 years,Male,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,90-99 years,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,90-99 years,Female,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,90-99 years,Female,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,100 years and over,Male,hs_finished,Indigenous,0
Coffs Harbour - Grafton,100 years and over,Male,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,100 years and over,Male,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Coffs Harbour - Grafton,100 years and over,Female,hs_finished,Indigenous,0
Coffs Harbour - Grafton,100 years and over,Female,hs_finished,Non-Indigenous,0
Coffs Harbour - Grafton,100 years and over,Female,hs_not_finished,Indigenous,0
Coffs Harbour - Grafton,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Far West and Orana,15-19 years,Male,hs_finished,Indigenous,21
Far West and Orana,15-19 years,Male,hs_finished,Non-Indigenous,48
Far West and Orana,15-19 years,Male,hs_not_finished,Indigenous,99
Far West and Orana,15-19 years,Male,hs_not_finished,Non-Indigenous,104
Far West and Orana,15-19 years,Female,hs_finished,Indigenous,17
Far West and Orana,15-19 years,Female,hs_finished,Non-Indigenous,35
Far West and Orana,15-19 years,Female,hs_not_finished,Indigenous,80
Far West and Orana,15-19 years,Female,hs_not_finished,Non-Indigenous,84
Far West and Orana,20-29 years,Male,hs_finished,Indigenous,55
Far West and Orana,20-29 years,Male,hs_finished,Non-Indigenous,135
Far West and Orana,20-29 years,Male,hs_not_finished,Indigenous,190
Far West and Orana,20-29 years,Male,hs_not_finished,Non-Indigenous,179
Far West and Orana,20-29 years,Female,hs_finished,Indigenous,49
Far West and Orana,20-29 years,Female,hs_finished,Non-Indigenous,132
Far West and Orana,20-29 years,Female,hs_not_finished,Indigenous,91
Far West and Orana,20-29 years,Female,hs_not_finished,Non-Indigenous,116
Far West and Orana,30-39 years,Male,hs_finished,Indigenous,21
Far West and Orana,30-39 years,Male,hs_finished,Non-Indigenous,69
Far West and Orana,30-39 years,Male,hs_not_finished,Indigenous,107
Far West and Orana,30-39 years,Male,hs_not_finished,Non-Indigenous,134
Far West and Orana,30-39 years,Female,hs_finished,Indigenous,20
Far West and Orana,30-39 years,Female,hs_finished,Non-Indigenous,88
Far West and Orana,30-39 years,Female,hs_not_finished,Indigenous,82
Far West and Orana,30-39 years,Female,hs_not_finished,Non-Indigenous,111
Far West and Orana,40-49 years,Male,hs_finished,Indigenous,15
Far West and Orana,40-49 years,Male,hs_finished,Non-Indigenous,50
Far West and Orana,40-49 years,Male,hs_not_finished,Indigenous,100
Far West and Orana,40-49 years,Male,hs_not_finished,Non-Indigenous,162
Far West and Orana,40-49 years,Female,hs_finished,Indigenous,13
Far West and Orana,40-49 years,Female,hs_finished,Non-Indigenous,52
Far West and Orana,40-49 years,Female,hs_not_finished,Indigenous,92
Far West and Orana,40-49 years,Female,hs_not_finished,Non-Indigenous,117
Far West and Orana,50-59 years,Male,hs_finished,Indigenous,5
Far West and Orana,50-59 years,Male,hs_finished,Non-Indigenous,44
Far West and Orana,50-59 years,Male,hs_not_finished,Indigenous,71
Far West and Orana,50-59 years,Male,hs_not_finished,Non-Indigenous,200
Far West and Orana,50-59 years,Female,hs_finished,Indigenous,5
Far West and Orana,50-59 years,Female,hs_finished,Non-Indigenous,39
Far West and Orana,50-59 years,Female,hs_not_finished,Indigenous,57
Far West and Orana,50-59 years,Female,hs_not_finished,Non-Indigenous,139
Far West and Orana,60-69 years,Male,hs_finished,Indigenous,0
Far West and Orana,60-69 years,Male,hs_finished,Non-Indigenous,27
Far West and Orana,60-69 years,Male,hs_not_finished,Indigenous,18
Far West and Orana,60-69 years,Male,hs_not_finished,Non-Indigenous,103
Far West and Orana,60-69 years,Female,hs_finished,Indigenous,0
Far West and Orana,60-69 years,Female,hs_finished,Non-Indigenous,20
Far West and Orana,60-69 years,Female,hs_not_finished,Indigenous,11
Far West and Orana,60-69 years,Female,hs_not_finished,Non-Indigenous,54
Far West and Orana,70-79 years,Male,hs_finished,Indigenous,0
Far West and Orana,70-79 years,Male,hs_finished,Non-Indigenous,4
Far West and Orana,70-79 years,Male,hs_not_finished,Indigenous,0
Far West and Orana,70-79 years,Male,hs_not_finished,Non-Indigenous,3
Far West and Orana,70-79 years,Female,hs_finished,Indigenous,0
Far West and Orana,70-79 years,Female,hs_finished,Non-Indigenous,0
Far West and Orana,70-79 years,Female,hs_not_finished,Indigenous,0
Far West and Orana,70-79 years,Female,hs_not_finished,Non-Indigenous,8
Far West and Orana,80-89 years,Male,hs_finished,Indigenous,0
Far West and Orana,80-89 years,Male,hs_finished,Non-Indigenous,0
Far West and Orana,80-89 years,Male,hs_not_finished,Indigenous,0
Far West and Orana,80-89 years,Male,hs_not_finished,Non-Indigenous,0
Far West and Orana,80-89 years,Female,hs_finished,Indigenous,0
Far West and Orana,80-89 years,Female,hs_finished,Non-Indigenous,0
Far West and Orana,80-89 years,Female,hs_not_finished,Indigenous,0
Far West and Orana,80-89 years,Female,hs_not_finished,Non-Indigenous,0
Far West and Orana,90-99 years,Male,hs_finished,Indigenous,0
Far West and Orana,90-99 years,Male,hs_finished,Non-Indigenous,0
Far West and Orana,90-99 years,Male,hs_not_finished,Indigenous,0
Far West and Orana,90-99 years,Male,hs_not_finished,Non-Indigenous,0
Far West and Orana,90-99 years,Female,hs_finished,Indigenous,0
Far West and Orana,90-99 years,Female,hs_finished,Non-Indigenous,0
Far West and Orana,90-99 years,Female,hs_not_finished,Indigenous,0
Far West and Orana,90-99 years,Female,hs_not_finished,Non-Indigenous,0
Far West and Orana,100 years and over,Male,hs_finished,Indigenous,0
Far West and Orana,100 years and over,Male,hs_finished,Non-Indigenous,0
Far West and Orana,100 years and over,Male,hs_not_finished,Indigenous,0
Far West and Orana,100 years and over,Male,hs_not_finished,Non-Indigenous,0
Far West and Orana,100 years and over,Female,hs_finished,Indigenous,0
Far West and Orana,100 years and over,Female,hs_finished,Non-Indigenous,0
Far West and Orana,100 years and over,Female,hs_not_finished,Indigenous,0
Far West and Orana,100 years and over,Female,hs_not_finished,Non-Indigenous,0
Hunter Valley exc Newcastle,15-19 years,Male,hs_finished,Indigenous,21
Hunter Valley exc Newcastle,15-19 years,Male,hs_finished,Non-Indigenous,194
Hunter Valley exc Newcastle,15-19 years,Male,hs_not_finished,Indigenous,66
Hunter Valley exc Newcastle,15-19 years,Male,hs_not_finished,Non-Indigenous,580
Hunter Valley exc Newcastle,15-19 years,Female,hs_finished,Indigenous,25
Hunter Valley exc Newcastle,15-19 years,Female,hs_finished,Non-Indigenous,201
Hunter Valley exc Newcastle,15-19 years,Female,hs_not_finished,Indigenous,77
Hunter Valley exc Newcastle,15-19 years,Female,hs_not_finished,Non-Indigenous,521
Hunter Valley exc Newcastle,20-29 years,Male,hs_finished,Indigenous,52
Hunter Valley exc Newcastle,20-29 years,Male,hs_finished,Non-Indigenous,452
Hunter Valley exc Newcastle,20-29 years,Male,hs_not_finished,Indigenous,129
Hunter Valley exc Newcastle,20-29 years,Male,hs_not_finished,Non-Indigenous,605
Hunter Valley exc Newcastle,20-29 years,Female,hs_finished,Indigenous,53
Hunter Valley exc Newcastle,20-29 years,Female,hs_finished,Non-Indigenous,453
Hunter Valley exc Newcastle,20-29 years,Female,hs_not_finished,Indigenous,63
Hunter Valley exc Newcastle,20-29 years,Female,hs_not_finished,Non-Indigenous,458
Hunter Valley exc Newcastle,30-39 years,Male,hs_finished,Indigenous,9
