sa4,age,sex,education,ingp,unemployment,labour_force
Capital Region,70-79 years,Male,hs_not_finished,Indigenous,0,11
Capital Region,70-79 years,Male,hs_not_finished,Non-Indigenous,11,780
Capital Region,70-79 years,Female,hs_finished,Indigenous,0,5
Capital Region,70-79 years,Female,hs_finished,Non-Indigenous,0,301
Capital Region,70-79 years,Female,hs_not_finished,Indigenous,0,0
Capital Region,70-79 years,Female,hs_not_finished,Non-Indigenous,0,433
Capital Region,80-89 years,Male,hs_finished,Indigenous,0,0
Capital Region,80-89 years,Male,hs_finished,Non-Indigenous,0,91
Capital Region,80-89 years,Male,hs_not_finished,Indigenous,0,0
Capital Region,80-89 years,Male,hs_not_finished,Non-Indigenous,0,132
Capital Region,80-89 years,Female,hs_finished,Indigenous,0,0
Capital Region,80-89 years,Female,hs_finished,Non-Indigenous,4,37
Capital Region,80-89 years,Female,hs_not_finished,Indigenous,0,0
Capital Region,80-89 years,Female,hs_not_finished,Non-Indigenous,0,69
Capital Region,90-99 years,Male,hs_finished,Indigenous,0,0
Capital Region,90-99 years,Male,hs_finished,Non-Indigenous,0,10
Capital Region,90-99 years,Male,hs_not_finished,Indigenous,0,0
Capital Region,90-99 years,Male,hs_not_finished,Non-Indigenous,0,26
Capital Region,90-99 years,Female,hs_finished,Indigenous,0,0
Capital Region,90-99 years,Female,hs_finished,Non-Indigenous,0,6
Capital Region,90-99 years,Female,hs_not_finished,Indigenous,0,0
Capital Region,90-99 years,Female,hs_not_finished,Non-Indigenous,0,6
Capital Region,100 years and over,Male,hs_finished,Indigenous,0,0
Capital Region,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Capital Region,100 years and over,Male,hs_not_finished,Indigenous,0,0
Capital Region,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Capital Region,100 years and over,Female,hs_finished,Indigenous,0,0
Capital Region,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Capital Region,100 years and over,Female,hs_not_finished,Indigenous,0,0
Capital Region,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Central Coast,15-19 years,Male,hs_finished,Indigenous,14,92
Central Coast,15-19 years,Male,hs_finished,Non-Indigenous,272,1638
Central Coast,15-19 years,Male,hs_not_finished,Indigenous,76,231
Central Coast,15-19 years,Male,hs_not_finished,Non-Indigenous,708,3056
Central Coast,15-19 years,Female,hs_finished,Indigenous,26,114
Central Coast,15-19 years,Female,hs_finished,Non-Indigenous,253,2054
Central Coast,15-19 years,Female,hs_not_finished,Indigenous,42,217
Central Coast,15-19 years,Female,hs_not_finished,Non-Indigenous,663,3265
Central Coast,20-29 years,Male,hs_finished,Indigenous,52,374
Central Coast,20-29 years,Male,hs_finished,Non-Indigenous,698,8623
Central Coast,20-29 years,Male,hs_not_finished,Indigenous,76,434
Central Coast,20-29 years,Male,hs_not_finished,Non-Indigenous,585,5320
Central Coast,20-29 years,Female,hs_finished,Indigenous,33,372
Central Coast,20-29 years,Female,hs_finished,Non-Indigenous,576,9401
Central Coast,20-29 years,Female,hs_not_finished,Indigenous,43,257
Central Coast,20-29 years,Female,hs_not_finished,Non-Indigenous,441,3140
Central Coast,30-39 years,Male,hs_finished,Indigenous,13,201
Central Coast,30-39 years,Male,hs_finished,Non-Indigenous,267,8941
Central Coast,30-39 years,Male,hs_not_finished,Indigenous,47,307
Central Coast,30-39 years,Male,hs_not_finished,Non-Indigenous,351,5842
Central Coast,30-39 years,Female,hs_finished,Indigenous,16,238
Central Coast,30-39 years,Female,hs_finished,Non-Indigenous,427,9602
Central Coast,30-39 years,Female,hs_not_finished,Indigenous,30,207
Central Coast,30-39 years,Female,hs_not_finished,Non-Indigenous,349,3582
Central Coast,40-49 years,Male,hs_finished,Indigenous,5,119
Central Coast,40-49 years,Male,hs_finished,Non-Indigenous,271,8312
Central Coast,40-49 years,Male,hs_not_finished,Indigenous,31,302
Central Coast,40-49 years,Male,hs_not_finished,Non-Indigenous,452,8437
Central Coast,40-49 years,Female,hs_finished,Indigenous,6,159
Central Coast,40-49 years,Female,hs_finished,Non-Indigenous,391,9335
Central Coast,40-49 years,Female,hs_not_finished,Indigenous,29,313
Central Coast,40-49 years,Female,hs_not_finished,Non-Indigenous,433,7050
Central Coast,50-59 years,Male,hs_finished,Indigenous,3,63
Central Coast,50-59 years,Male,hs_finished,Non-Indigenous,275,5962
Central Coast,50-59 years,Male,hs_not_finished,Indigenous,13,270
Central Coast,50-59 years,Male,hs_not_finished,Non-Indigenous,515,9974
Central Coast,50-59 years,Female,hs_finished,Indigenous,0,74
Central Coast,50-59 years,Female,hs_finished,Non-Indigenous,236,6296
Central Coast,50-59 years,Female,hs_not_finished,Indigenous,28,291
Central Coast,50-59 years,Female,hs_not_finished,Non-Indigenous,505,9287
Central Coast,60-69 years,Male,hs_finished,Indigenous,0,16
Central Coast,60-69 years,Male,hs_finished,Non-Indigenous,218,3170
Central Coast,60-69 years,Male,hs_not_finished,Indigenous,3,85
Central Coast,60-69 years,Male,hs_not_finished,Non-Indigenous,227,4305
Central Coast,60-69 years,Female,hs_finished,Indigenous,3,10
Central Coast,60-69 years,Female,hs_finished,Non-Indigenous,95,2168
Central Coast,60-69 years,Female,hs_not_finished,Indigenous,0,63
Central Coast,60-69 years,Female,hs_not_finished,Non-Indigenous,157,4130
Central Coast,70-79 years,Male,hs_finished,Indigenous,0,0
Central Coast,70-79 years,Male,hs_finished,Non-Indigenous,19,493
Central Coast,70-79 years,Male,hs_not_finished,Indigenous,0,4
Central Coast,70-79 years,Male,hs_not_finished,Non-Indigenous,21,633
Central Coast,70-79 years,Female,hs_finished,Indigenous,0,0
Central Coast,70-79 years,Female,hs_finished,Non-Indigenous,9,236
Central Coast,70-79 years,Female,hs_not_finished,Indigenous,0,3
Central Coast,70-79 years,Female,hs_not_finished,Non-Indigenous,7,434
Central Coast,80-89 years,Male,hs_finished,Indigenous,0,0
Central Coast,80-89 years,Male,hs_finished,Non-Indigenous,3,46
Central Coast,80-89 years,Male,hs_not_finished,Indigenous,0,0
Central Coast,80-89 years,Male,hs_not_finished,Non-Indigenous,0,51
Central Coast,80-89 years,Female,hs_finished,Indigenous,0,0
Central Coast,80-89 years,Female,hs_finished,Non-Indigenous,0,26
Central Coast,80-89 years,Female,hs_not_finished,Indigenous,0,0
Central Coast,80-89 years,Female,hs_not_finished,Non-Indigenous,0,34
Central Coast,90-99 years,Male,hs_finished,Indigenous,0,0
Central Coast,90-99 years,Male,hs_finished,Non-Indigenous,0,7
Central Coast,90-99 years,Male,hs_not_finished,Indigenous,0,0
Central Coast,90-99 years,Male,hs_not_finished,Non-Indigenous,0,0
Central Coast,90-99 years,Female,hs_finished,Indigenous,0,0
Central Coast,90-99 years,Female,hs_finished,Non-Indigenous,0,10
Central Coast,90-99 years,Female,hs_not_finished,Indigenous,0,0
Central Coast,90-99 years,Female,hs_not_finished,Non-Indigenous,0,0
Central Coast,100 years and over,Male,hs_finished,Indigenous,0,0
Central Coast,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Central Coast,100 years and over,Male,hs_not_finished,Indigenous,0,0
Central Coast,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Central Coast,100 years and over,Female,hs_finished,Indigenous,0,0
Central Coast,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Central Coast,100 years and over,Female,hs_not_finished,Indigenous,0,0
Central Coast,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Central West,15-19 years,Male,hs_finished,Indigenous,9,64
Central West,15-19 years,Male,hs_finished,Non-Indigenous,136,887
Central West,15-19 years,Male,hs_not_finished,Indigenous,67,224
Central West,15-19 years,Male,hs_not_finished,Non-Indigenous,300,1799
Central West,15-19 years,Female,hs_finished,Indigenous,22,113
Central West,15-19 years,Female,hs_finished,Non-Indigenous,131,1108
Central West,15-19 years,Female,hs_not_finished,Indigenous,46,162
Central West,15-19 years,Female,hs_not_finished,Non-Indigenous,248,1599
Central West,20-29 years,Male,hs_finished,Indigenous,46,310
Central West,20-29 years,Male,hs_finished,Non-Indigenous,296,4489
Central West,20-29 years,Male,hs_not_finished,Indigenous,95,414
Central West,20-29 years,Male,hs_not_finished,Non-Indigenous,415,3794
Central West,20-29 years,Female,hs_finished,Indigenous,43,332
Central West,20-29 years,Female,hs_finished,Non-Indigenous,281,5315
Central West,20-29 years,Female,hs_not_finished,Indigenous,74,242
Central West,20-29 years,Female,hs_not_finished,Non-Indigenous,235,1806
Central West,30-39 years,Male,hs_finished,Indigenous,13,130
Central West,30-39 years,Male,hs_finished,Non-Indigenous,134,4712
Central West,30-39 years,Male,hs_not_finished,Indigenous,49,283
Central West,30-39 years,Male,hs_not_finished,Non-Indigenous,287,3987
Central West,30-39 years,Female,hs_finished,Indigenous,8,205
Central West,30-39 years,Female,hs_finished,Non-Indigenous,197,5699
Central West,30-39 years,Female,hs_not_finished,Indigenous,51,202
Central West,30-39 years,Female,hs_not_finished,Non-Indigenous,209,2097
Central West,40-49 years,Male,hs_finished,Indigenous,9,98
Central West,40-49 years,Male,hs_finished,Non-Indigenous,131,4207
Central West,40-49 years,Male,hs_not_finished,Indigenous,52,335
Central West,40-49 years,Male,hs_not_finished,Non-Indigenous,300,5305
Central West,40-49 years,Female,hs_finished,Indigenous,10,145
Central West,40-49 years,Female,hs_finished,Non-Indigenous,134,5491
Central West,40-49 years,Female,hs_not_finished,Indigenous,47,312
Central West,40-49 years,Female,hs_not_finished,Non-Indigenous,267,3883
Central West,50-59 years,Male,hs_finished,Indigenous,8,53
Central West,50-59 years,Male,hs_finished,Non-Indigenous,131,3065
Central West,50-59 years,Male,hs_not_finished,Indigenous,32,273
Central West,50-59 years,Male,hs_not_finished,Non-Indigenous,353,6717
Central West,50-59 years,Female,hs_finished,Indigenous,4,48
Central West,50-59 years,Female,hs_finished,Non-Indigenous,106,3678
Central West,50-59 years,Female,hs_not_finished,Indigenous,20,253
Central West,50-59 years,Female,hs_not_finished,Non-Indigenous,255,5536
Central West,60-69 years,Male,hs_finished,Indigenous,0,17
Central West,60-69 years,Male,hs_finished,Non-Indigenous,64,1863
Central West,60-69 years,Male,hs_not_finished,Indigenous,13,94
Central West,60-69 years,Male,hs_not_finished,Non-Indigenous,159,3590
Central West,60-69 years,Female,hs_finished,Indigenous,0,13
Central West,60-69 years,Female,hs_finished,Non-Indigenous,25,1513
Central West,60-69 years,Female,hs_not_finished,Indigenous,0,71
Central West,60-69 years,Female,hs_not_finished,Non-Indigenous,96,2718
Central West,70-79 years,Male,hs_finished,Indigenous,0,0
Central West,70-79 years,Male,hs_finished,Non-Indigenous,10,449
Central West,70-79 years,Male,hs_not_finished,Indigenous,0,14
Central West,70-79 years,Male,hs_not_finished,Non-Indigenous,12,993
Central West,70-79 years,Female,hs_finished,Indigenous,0,0
Central West,70-79 years,Female,hs_finished,Non-Indigenous,0,257
Central West,70-79 years,Female,hs_not_finished,Indigenous,0,5
Central West,70-79 years,Female,hs_not_finished,Non-Indigenous,0,504
Central West,80-89 years,Male,hs_finished,Indigenous,0,0
Central West,80-89 years,Male,hs_finished,Non-Indigenous,0,67
Central West,80-89 years,Male,hs_not_finished,Indigenous,0,0
Central West,80-89 years,Male,hs_not_finished,Non-Indigenous,0,180
Central West,80-89 years,Female,hs_finished,Indigenous,0,0
Central West,80-89 years,Female,hs_finished,Non-Indigenous,0,42
Central West,80-89 years,Female,hs_not_finished,Indigenous,0,0
Central West,80-89 years,Female,hs_not_finished,Non-Indigenous,0,88
Central West,90-99 years,Male,hs_finished,Indigenous,0,0
Central West,90-99 years,Male,hs_finished,Non-Indigenous,4,10
Central West,90-99 years,Male,hs_not_finished,Indigenous,0,0
Central West,90-99 years,Male,hs_not_finished,Non-Indigenous,0,15
Central West,90-99 years,Female,hs_finished,Indigenous,0,0
Central West,90-99 years,Female,hs_finished,Non-Indigenous,0,9
Central West,90-99 years,Female,hs_not_finished,Indigenous,0,0
Central West,90-99 years,Female,hs_not_finished,Non-Indigenous,0,7
Central West,100 years and over,Male,hs_finished,Indigenous,0,0
Central West,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Central West,100 years and over,Male,hs_not_finished,Indigenous,0,0
Central West,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Central West,100 years and over,Female,hs_finished,Indigenous,0,0
Central West,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Central West,100 years and over,Female,hs_not_finished,Indigenous,0,0
Central West,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Coffs Harbour - Grafton,15-19 years,Male,hs_finished,Indigenous,17,44
Coffs Harbour - Grafton,15-19 years,Male,hs_finished,Non-Indigenous,98,507
Coffs Harbour - Grafton,15-19 years,Male,hs_not_finished,Indigenous,47,115
Coffs Harbour - Grafton,15-19 years,Male,hs_not_finished,Non-Indigenous,283,1302
Coffs Harbour - Grafton,15-19 years,Female,hs_finished,Indigenous,15,61
Coffs Harbour - Grafton,15-19 years,Female,hs_finished,Non-Indigenous,83,615
Coffs Harbour - Grafton,15-19 years,Female,hs_not_finished,Indigenous,30,113
Coffs Harbour - Grafton,15-19 years,Female,hs_not_finished,Non-Indigenous,208,1251
Coffs Harbour - Grafton,20-29 years,Male,hs_finished,Indigenous,26,151
Coffs Harbour - Grafton,20-29 years,Male,hs_finished,Non-Indigenous,246,2527
Coffs Harbour - Grafton,20-29 years,Male,hs_not_finished,Indigenous,46,205
Coffs Harbour - Grafton,20-29 years,Male,hs_not_finished,Non-Indigenous,280,1977
Coffs Harbour - Grafton,20-29 years,Female,hs_finished,Indigenous,22,158
Coffs Harbour - Grafton,20-29 years,Female,hs_finished,Non-Indigenous,203,2845
Coffs Harbour - Grafton,20-29 years,Female,hs_not_finished,Indigenous,46,138
Coffs Harbour - Grafton,20-29 years,Female,hs_not_finished,Non-Indigenous,153,985
Coffs Harbour - Grafton,30-39 years,Male,hs_finished,Indigenous,10,93
Coffs Harbour - Grafton,30-39 years,Male,hs_finished,Non-Indigenous,111,2712
Coffs Harbour - Grafton,30-39 years,Male,hs_not_finished,Indigenous,41,138
Coffs Harbour - Grafton,30-39 years,Male,hs_not_finished,Non-Indigenous,178,2102
Coffs Harbour - Grafton,30-39 years,Female,hs_finished,Indigenous,9,105
Coffs Harbour - Grafton,30-39 years,Female,hs_finished,Non-Indigenous,170,3125
Coffs Harbour - Grafton,30-39 years,Female,hs_not_finished,Indigenous,31,138
Coffs Harbour - Grafton,30-39 years,Female,hs_not_finished,Non-Indigenous,152,1352
Coffs Harbour - Grafton,40-49 years,Male,hs_finished,Indigenous,5,73
Coffs Harbour - Grafton,40-49 years,Male,hs_finished,Non-Indigenous,108,2812
Coffs Harbour - Grafton,40-49 years,Male,hs_not_finished,Indigenous,24,152
Coffs Harbour - Grafton,40-49 years,Male,hs_not_finished,Non-Indigenous,221,3027
Coffs Harbour - Grafton,40-49 years,Female,hs_finished,Indigenous,5,93
Coffs Harbour - Grafton,40-49 years,Female,hs_finished,Non-Indigenous,131,3473
Coffs Harbour - Grafton,40-49 years,Female,hs_not_finished,Indigenous,22,146
Coffs Harbour - Grafton,40-49 years,Female,hs_not_finished,Non-Indigenous,165,2765
Coffs Harbour - Grafton,50-59 years,Male,hs_finished,Indigenous,3,42
Coffs Harbour - Grafton,50-59 years,Male,hs_finished,Non-Indigenous,116,2206
Coffs Harbour - Grafton,50-59 years,Male,hs_not_finished,Indigenous,13,123
Coffs Harbour - Grafton,50-59 years,Male,hs_not_finished,Non-Indigenous,308,4210
Coffs Harbour - Grafton,50-59 years,Female,hs_finished,Indigenous,0,37
Coffs Harbour - Grafton,50-59 years,Female,hs_finished,Non-Indigenous,114,2689
Coffs Harbour - Grafton,50-59 years,Female,hs_not_finished,Indigenous,24,129
Coffs Harbour - Grafton,50-59 years,Female,hs_not_finished,Non-Indigenous,229,4070
Coffs Harbour - Grafton,60-69 years,Male,hs_finished,Indigenous,0,7
Coffs Harbour - Grafton,60-69 years,Male,hs_finished,Non-Indigenous,93,1446
Coffs Harbour - Grafton,60-69 years,Male,hs_not_finished,Indigenous,0,47
Coffs Harbour - Grafton,60-69 years,Male,hs_not_finished,Non-Indigenous,143,2156
Coffs Harbour - Grafton,60-69 years,Female,hs_finished,Indigenous,0,14
Coffs Harbour - Grafton,60-69 years,Female,hs_finished,Non-Indigenous,37,1081
Coffs Harbour - Grafton,60-69 years,Female,hs_not_finished,Indigenous,0,27
Coffs Harbour - Grafton,60-69 years,Female,hs_not_finished,Non-Indigenous,81,1844
Coffs Harbour - Grafton,70-79 years,Male,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,70-79 years,Male,hs_finished,Non-Indigenous,4,214
Coffs Harbour - Grafton,70-79 years,Male,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,70-79 years,Male,hs_not_finished,Non-Indigenous,4,355
Coffs Harbour - Grafton,70-79 years,Female,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,70-79 years,Female,hs_finished,Non-Indigenous,0,93
Coffs Harbour - Grafton,70-79 years,Female,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,70-79 years,Female,hs_not_finished,Non-Indigenous,0,207
Coffs Harbour - Grafton,80-89 years,Male,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,80-89 years,Male,hs_finished,Non-Indigenous,0,21
Coffs Harbour - Grafton,80-89 years,Male,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,80-89 years,Male,hs_not_finished,Non-Indigenous,0,68
Coffs Harbour - Grafton,80-89 years,Female,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,80-89 years,Female,hs_finished,Non-Indigenous,0,8
Coffs Harbour - Grafton,80-89 years,Female,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,80-89 years,Female,hs_not_finished,Non-Indigenous,0,36
Coffs Harbour - Grafton,90-99 years,Male,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,90-99 years,Male,hs_finished,Non-Indigenous,0,4
Coffs Harbour - Grafton,90-99 years,Male,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,90-99 years,Male,hs_not_finished,Non-Indigenous,0,3
Coffs Harbour - Grafton,90-99 years,Female,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,90-99 years,Female,hs_finished,Non-Indigenous,0,0
Coffs Harbour - Grafton,90-99 years,Female,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,90-99 years,Female,hs_not_finished,Non-Indigenous,0,4
Coffs Harbour - Grafton,100 years and over,Male,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Male,hs_finished,Non-Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Male,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Male,hs_not_finished,Non-Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Female,hs_finished,Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Female,hs_finished,Non-Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Female,hs_not_finished,Indigenous,0,0
Coffs Harbour - Grafton,100 years and over,Female,hs_not_finished,Non-Indigenous,0,0
Far West and Orana,15-19 years,Male,hs_finished,Indigenous,20,83
Far West and Orana,15-19 years,Male,hs_finished,Non-Indigenous,45,346
Far West and Orana,15-19 years,Male,hs_not_finished,Indigenous,97,234
Far West and Orana,15-19 years,Male,hs_not_finished,Non-Indigenous,99,748
Far West and Orana,15-19 years,Female,hs_finished,Indigenous,17,116
Far West and Orana,15-19 years,Female,hs_finished,Non-Indigenous,33,381
Far West and Orana,15-19 years,Female,hs_not_finished,Indigenous,78,217
Far West and Orana,15-19 years,Female,hs_not_finished,Non-Indigenous,90,761
Far West and Orana,20-29 years,Male,hs_finished,Indigenous,54,338
Far West and Orana,20-29 years,Male,hs_finished,Non-Indigenous,132,2279
Far West and Orana,20-29 years,Male,hs_not_finished,Indigenous,187,573
Far West and Orana,20-29 years,Male,hs_not_finished,Non-Indigenous,163,1835
Far West and Orana,20-29 years,Female,hs_finished,Indigenous,54,424
Far West and Orana,20-29 years,Female,hs_finished,Non-Indigenous,136,2869
Far West and Orana,20-29 years,Female,hs_not_finished,Indigenous,78,305
Far West and Orana,20-29 years,Female,hs_not_finished,Non-Indigenous,110,954
Far West and Orana,30-39 years,Male,hs_finished,Indigenous,21,208
Far West and Orana,30-39 years,Male,hs_finished,Non-Indigenous,70,2421
Far West and Orana,30-39 years,Male,hs_not_finished,Indigenous,103,382
Far West and Orana,30-39 years,Male,hs_not_finished,Non-Indigenous,135,1839
Far West and Orana,30-39 years,Female,hs_finished,Indigenous,25,238
Far West and Orana,30-39 years,Female,hs_finished,Non-Indigenous,88,2897
Far West and Orana,30-39 years,Female,hs_not_finished,Indigenous,81,334
Far West and Orana,30-39 years,Female,hs_not_finished,Non-Indigenous,109,1133
Far West and Orana,40-49 years,Male,hs_finished,Indigenous,17,123
Far West and Orana,40-49 years,Male,hs_finished,Non-Indigenous,46,2006
Far West and Orana,40-49 years,Male,hs_not_finished,Indigenous,98,432
Far West and Orana,40-49 years,Male,hs_not_finished,Non-Indigenous,158,2566
Far West and Orana,40-49 years,Female,hs_finished,Indigenous,15,220
Far West and Orana,40-49 years,Female,hs_finished,Non-Indigenous,55,2525
Far West and Orana,40-49 years,Female,hs_not_finished,Indigenous,91,465
Far West and Orana,40-49 years,Female,hs_not_finished,Non-Indigenous,106,1841
Far West and Orana,50-59 years,Male,hs_finished,Indigenous,5,61
Far West and Orana,50-59 years,Male,hs_finished,Non-Indigenous,43,1413
Far West and Orana,50-59 years,Male,hs_not_finished,Indigenous,60,402
Far West and Orana,50-59 years,Male,hs_not_finished,Non-Indigenous,202,3741
Far West and Orana,50-59 years,Female,hs_finished,Indigenous,5,67
Far West and Orana,50-59 years,Female,hs_finished,Non-Indigenous,38,1853
Far West and Orana,50-59 years,Female,hs_not_finished,Indigenous,53,412
Far West and Orana,50-59 years,Female,hs_not_finished,Non-Indigenous,123,2953
Far West and Orana,60-69 years,Male,hs_finished,Indigenous,0,13
Far West and Orana,60-69 years,Male,hs_finished,Non-Indigenous,25,856
Far West and Orana,60-69 years,Male,hs_not_finished,Indigenous,24,173
Far West and Orana,60-69 years,Male,hs_not_finished,Non-Indigenous,97,2176
Far West and Orana,60-69 years,Female,hs_finished,Indigenous,0,19
Far West and Orana,60-69 years,Female,hs_finished,Non-Indigenous,14,735
Far West and Orana,60-69 years,Female,hs_not_finished,Indigenous,6,137
Far West and Orana,60-69 years,Female,hs_not_finished,Non-Indigenous,39,1549
Far West and Orana,70-79 years,Male,hs_finished,Indigenous,0,0
Far West and Orana,70-79 years,Male,hs_finished,Non-Indigenous,4,233
Far West and Orana,70-79 years,Male,hs_not_finished,Indigenous,0,13
Far West and Orana,70-79 years,Male,hs_not_finished,Non-Indigenous,0,548
Far West and Orana,70-79 years,Female,hs_finished,Indigenous,0,0
Far West and Orana,70-79 years,Female,hs_finished,Non-Indigenous,0,145
Far West and Orana,70-79 years,Female,hs_not_finished,Indigenous,0,10
Far West and Orana,70-79 years,Female,hs_not_finished,Non-Indigenous,3,308
Far West and Orana,80-89 years,Male,hs_finished,Indigenous,0,0
Far West and Orana,80-89 years,Male,hs_finished,Non-Indigenous,0,36
Far West and Orana,80-89 years,Male,hs_not_finished,Indigenous,0,0
Far West and Orana,80-89 years,Male,hs_not_finished,Non-Indigenous,0,125
Far West and Orana,80-89 years,Female,hs_finished,Indigenous,0,0
Far West and Orana,80-89 years,Female,hs_finished,Non-Indigenous,0,23
Far West and Orana,80-89 years,Female,hs_not_finished,Indigenous,0,0
Far West and Orana,80-89 years,Female,hs_not_finished,Non-Indigenous,0,63
Far West and Orana,90-99 years,Male,hs_finished,Indigenous,0,0
Far West and Orana,90-99 years,Male,hs_finished,Non-Indigenous,0,5
Far West and Orana,90-99 years,Male,hs_not_finished,Indigenous,0,0
Far West and Orana,90-99 years,Male,hs_not_finished,Non-Indigenous,0,13
Far West and Orana,90-99 years,Female,hs_finished,Indigenous,0,0
Far West and Orana,90-99 years,Female,hs_finished,Non-Indigenous,0,0
Far West and Orana,90-99 years,Female,hs_not_finished,Indigenous,0,0
Far West and Orana,90-99 years,Female,hs_not_finished,Non-Indigenous,0,4
Far West and Orana,100 years and over,Male,hs_finished,Indigenous,0,0
Far West and Orana,100 years and over,Male,hs_finished,Non-Indigenous,0,0
